iter	Logloss
0	0.6761820489
1	0.6628235344
2	0.6511942605
3	0.6431149861
4	0.6342392635
5	0.6271395551
6	0.6220650455
7	0.616757389
8	0.6122480734
9	0.6078223452
10	0.6041797877
11	0.6005008092
12	0.5971319326
13	0.5943299729
14	0.5920087601
15	0.5890556639
16	0.5863385359
17	0.5842161538
18	0.5819715039
19	0.5805260815
20	0.5787531796
21	0.5766362207
22	0.5753391359
23	0.5735380398
24	0.5718977692
25	0.5700964751
26	0.5683832071
27	0.5672553001
28	0.5657717356
29	0.5646476907
30	0.5631279068
31	0.5621715728
32	0.5612550341
33	0.5604742126
34	0.5594494082
35	0.557951101
36	0.5569523812
37	0.5558035942
38	0.5550664438
39	0.5544338005
40	0.5533789968
41	0.5524534876
42	0.5515681819
43	0.5505783417
44	0.5500510691
45	0.5490613007
46	0.5483301809
47	0.546920577
48	0.5455861619
49	0.544661956
50	0.544205276
51	0.5431748339
52	0.5421286309
53	0.5415998201
54	0.5400988485
55	0.5392183841
56	0.5385703964
57	0.5375003661
58	0.5365885023
59	0.5358324336
60	0.534806002
61	0.5342998574
62	0.5339235302
63	0.5325657174
64	0.5320349381
65	0.5313715482
66	0.5309256723
67	0.5304640801
68	0.530135075
69	0.5296257455
70	0.5292689517
71	0.5288550209
72	0.5284142566
73	0.527801932
74	0.5264664705
75	0.525606466
76	0.5247886578
77	0.524172466
78	0.5228984842
79	0.5215899269
80	0.5207951052
81	0.5200828427
82	0.5195872018
83	0.5184727022
84	0.5178770752
85	0.5169761938
86	0.5166039264
87	0.5158729837
88	0.5148248437
89	0.5136902966
90	0.5129448637
91	0.5126161277
92	0.5118204377
93	0.5112207845
94	0.510431331
95	0.5100891145
96	0.50944457
97	0.5083659823
98	0.5078370742
99	0.5072003365
100	0.5063937405
101	0.5056206208
102	0.5050751313
103	0.5046360681
104	0.50351428
105	0.5028086951
106	0.5014220819
107	0.5009427573
108	0.500181684
109	0.4998294133
110	0.4991656963
111	0.4984835175
112	0.4975184516
113	0.4967556293
114	0.4960088177
115	0.4952627281
116	0.4940169845
117	0.4931472042
118	0.4921172306
119	0.4911870622
120	0.4903691986
121	0.4894585697
122	0.488775249
123	0.4882059419
124	0.4876247358
125	0.4867224934
126	0.4861440508
127	0.4857500882
128	0.4849345104
129	0.4840060706
130	0.4832416837
131	0.4829235481
132	0.4826296876
133	0.4822580462
134	0.4816768848
135	0.4810223535
136	0.4805242063
137	0.4799385262
138	0.4792336641
139	0.4785516751
140	0.4781601596
141	0.4772365571
142	0.476218147
143	0.4757208977
144	0.4749380121
145	0.4743376588
146	0.4735949508
147	0.472835765
148	0.472118448
149	0.4715278134
150	0.4710203348
151	0.4698583331
152	0.4691254868
153	0.4685216394
154	0.4678419854
155	0.4672785804
156	0.4666119561
157	0.4661185239
158	0.4655779268
159	0.4645726179
160	0.4635120924
161	0.4628313698
162	0.4622808239
163	0.4611271091
164	0.4606022518
165	0.4601911831
166	0.4594814486
167	0.4587844857
168	0.4581246828
169	0.4572362178
170	0.4568210566
171	0.4560968281
172	0.455770691
173	0.4548983093
174	0.4544660913
175	0.4533704949
176	0.4530785901
177	0.4526893103
178	0.4521584381
179	0.4516172142
180	0.4510361952
181	0.4499306244
182	0.4493167819
183	0.4488649609
184	0.4480700664
185	0.4476585504
186	0.4468823316
187	0.4463871553
188	0.4455526213
189	0.4449007545
190	0.4445548311
191	0.444262625
192	0.443784587
193	0.4432827318
194	0.4426215514
195	0.4421202519
196	0.4417047893
197	0.4406926348
198	0.4400707693
199	0.4390943672
200	0.4384968639
201	0.4376734628
202	0.4371319365
203	0.4362877863
204	0.4360036621
205	0.4350301055
206	0.4344220073
207	0.4338295679
208	0.4333714777
209	0.4323464113
210	0.4319799559
211	0.4313405394
212	0.4307638457
213	0.4302675403
214	0.4297549166
215	0.4290159639
216	0.4285454203
217	0.4283321752
218	0.427897017
219	0.4272710742
220	0.4268784309
221	0.4263457357
222	0.4258103422
223	0.4251439767
224	0.4246239738
225	0.4241066855
226	0.4233011112
227	0.4226117686
228	0.4220896828
229	0.4213404415
230	0.4207310092
231	0.4204776921
232	0.4198129864
233	0.4193167857
234	0.4187484717
235	0.4183555542
236	0.4179548691
237	0.4176149696
238	0.4172090364
239	0.4167991102
240	0.4161268909
241	0.4156567755
242	0.4152701561
243	0.4149946228
244	0.4144605653
245	0.4135878991
246	0.4128962042
247	0.4124277457
248	0.4118219009
249	0.4115318173
250	0.4112170555
251	0.4109493997
252	0.4102102868
253	0.4095561948
254	0.4090181247
255	0.4086776847
256	0.4083595503
257	0.407754129
258	0.4072213385
259	0.4068707214
260	0.4062730706
261	0.4055637061
262	0.4050929369
263	0.4047569111
264	0.4044587464
265	0.4041016642
266	0.4037290446
267	0.4030504365
268	0.4021928976
269	0.4019582039
270	0.4016659561
271	0.4012476496
272	0.400940532
273	0.400464436
274	0.3997321974
275	0.3989035471
276	0.3983657189
277	0.3980249637
278	0.3975524264
279	0.3970690666
280	0.396749581
281	0.396336482
282	0.3959421218
283	0.395480506
284	0.3949390894
285	0.3940003133
286	0.3934896213
287	0.3929816314
288	0.3926432754
289	0.3922834433
290	0.3917817982
291	0.3910200543
292	0.3906942748
293	0.3899981256
294	0.3896839348
295	0.3891925962
296	0.3884078745
297	0.3880438661
298	0.3876102772
299	0.3870669254
