iter	Passed	Remaining
0	1068	319428
1	1556	231956
2	1851	183279
3	2201	162931
4	3103	183135
5	4024	197213
6	4256	178152
7	4470	163187
8	4617	149308
9	4756	137936
10	4960	130334
11	5128	123078
12	5271	116382
13	5424	110822
14	5621	106800
15	5939	105423
16	6209	103373
17	6538	102429
18	6791	100448
19	7127	99783
20	7374	97971
21	7519	95022
22	7922	95414
23	8120	93380
24	8719	95915
25	8904	93839
26	9217	93194
27	9636	93609
28	9879	92325
29	10209	91883
30	10336	89693
31	10506	87988
32	10690	86495
33	10856	84934
34	11008	83348
35	11141	81704
36	11291	80259
37	11458	79001
38	11679	78164
39	12125	78818
40	12626	79760
41	12827	78797
42	12976	77559
43	13127	76378
44	13247	75067
45	13405	74024
46	13551	72947
47	13734	72107
48	13886	71134
49	14014	70074
50	14124	68962
51	14284	68126
52	14414	67177
53	14546	66268
54	14677	65383
55	14835	64639
56	15027	64062
57	15193	63392
58	15336	62644
59	15452	61808
60	15582	61053
61	15691	60235
62	15812	59484
63	15968	58885
64	16201	58575
65	16374	58054
66	16516	57439
67	16656	56828
68	16799	56241
69	17048	56017
70	17275	55719
71	17537	55535
72	17869	55566
73	17993	54953
74	18124	54374
75	18298	53933
76	18520	53638
77	18638	53049
78	18782	52542
79	18969	52165
80	19153	51785
81	19306	51327
82	19688	51475
83	19857	51063
84	20060	50741
85	20667	51429
86	20882	51124
87	21022	50646
88	21205	50272
89	21350	49817
90	21518	49421
91	21664	48980
92	21818	48562
93	21987	48186
94	22138	47771
95	22289	47364
96	22419	46918
97	22565	46511
98	22715	46119
99	22936	45872
100	23153	45619
101	23638	45886
102	23906	45723
103	24089	45398
104	24325	45176
105	24626	45071
106	24779	44696
107	24972	44395
108	25144	44061
109	25293	43688
110	25431	43302
111	25565	42912
112	25762	42634
113	25929	42305
114	26131	42036
115	26345	41789
116	26659	41698
117	26932	41540
118	27184	41347
119	27656	41484
120	28089	41553
121	28268	41243
122	28500	41012
123	28707	40745
124	28902	40462
125	29348	40529
126	29500	40186
127	29653	39847
128	29792	39492
129	29993	39221
130	30270	39050
131	30433	38733
132	30660	38498
133	30869	38241
134	31051	37951
135	31196	37619
136	31434	37400
137	31649	37154
138	31803	36837
139	31949	36513
140	32097	36195
141	32241	35874
142	32381	35552
143	32521	35231
144	32697	34952
145	32875	34676
146	33013	34360
147	33185	34082
148	33345	33792
149	33858	33858
150	34462	34006
151	34782	33867
152	35050	33676
153	35232	33402
154	35450	33163
155	35613	32873
156	35729	32543
157	35854	32223
158	36000	31925
159	36131	31615
160	36274	31317
161	36439	31040
162	36764	30899
163	37032	30709
164	37313	30529
165	37511	30280
166	37656	29990
167	37853	29741
168	38055	29498
169	38204	29214
170	38340	28923
171	38575	28707
172	38826	28502
173	39055	28281
174	39255	28039
175	39513	27839
176	39651	27554
177	39781	27265
178	39915	26981
179	40064	26709
180	40202	26431
181	40341	26155
182	40469	25873
183	40605	25598
184	40745	25328
185	40891	25062
186	41052	24806
187	41207	24549
188	41376	24300
189	41522	24039
190	41671	23781
191	41799	23512
192	41937	23250
193	42081	22993
194	42236	22742
195	42398	22497
196	42539	22241
197	42700	21997
198	42842	21744
199	43086	21543
200	43341	21347
201	43491	21099
202	43631	20848
203	43772	20598
204	43908	20347
205	44050	20100
206	44178	19848
207	44322	19604
208	44478	19366
209	44614	19120
210	44748	18874
211	44936	18652
212	45098	18420
213	45261	18189
214	45433	17961
215	45602	17734
216	45818	17524
217	46033	17315
218	46210	17091
219	46360	16858
220	46497	16621
221	46644	16388
222	46791	16156
223	46936	15924
224	47118	15706
225	47338	15500
226	47534	15286
227	47676	15055
228	47835	14830
229	47992	14606
230	48152	14383
231	48335	14167
232	48511	13949
233	48668	13727
234	48850	13511
235	49036	13298
236	49204	13079
237	49341	12853
238	49518	12638
239	50230	12557
240	50887	12458
241	51287	12292
242	51579	12098
243	51793	11887
244	51960	11664
245	52101	11436
246	52244	11210
247	52395	10986
248	52545	10762
249	52707	10541
250	52881	10323
251	53073	10109
252	53261	9894
253	53429	9676
254	53564	9452
255	53708	9231
256	53862	9012
257	54009	8792
258	54163	8574
259	54307	8354
260	54529	8148
261	54711	7935
262	54931	7728
263	55138	7518
264	55288	7302
265	55447	7087
266	55610	6873
267	55758	6657
268	55908	6442
269	56040	6226
270	56189	6012
271	56340	5799
272	56489	5586
273	56654	5375
274	56814	5164
275	56977	4954
276	57125	4743
277	57277	4532
278	57430	4322
279	57575	4112
280	57705	3901
281	57856	3692
282	58001	3484
283	58140	3275
284	58283	3067
285	58525	2864
286	58688	2658
287	58823	2450
288	59282	2256
289	59456	2050
290	59736	1847
291	60035	1644
292	60221	1438
293	60356	1231
294	60498	1025
295	60654	819
296	60842	614
297	61117	410
298	61255	204
299	61408	0
